simbad_id,ra_deg,dec_deg,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,V_mag,B_mag,R_mag,I_mag,spectral_type,mesvar.bibcode,mesvar.epoch,mesvar.epoch_prec,mesvar.lowvmax,mesvar.magtyp,mesvar.mespos,mesvar.period,mesvar.period_prec,mesvar.raisingtime,mesvar.raisingtime_prec,mesvar.r_epoch,mesvar.r_period,mesvar.r_raisingtime,mesvar.r_vmax,mesvar.r_vmin,mesvar.upperiod,mesvar.uppvmin,mesvar.vartyp,mesvar.vmax,mesvar.vmax_prec,mesvar.vmin,mesvar.vmin_prec,parallax_mas,pmra_mas_yr,pmdec_mas_yr,simbad_otype,field,stable
COSMOS J100237.53+013431.0,150.65637580161,1.5752684100799998,0.2372,0.2594,90,O,2020yCat.1350....0G,19.336000442504883,19.895999908447266,,,,,,,,,,,,,,,,,,,,,,,,,,0.254,1.487,-3.398,*,COSMOS,True
COSMOS 178054,150.15578223922,1.5863431586599999,0.2421,0.1947,90,O,2020yCat.1350....0G,19.46500015258789,20.000999450683594,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.39,-0.796,*,COSMOS,True
COSMOS 1014787,149.63221474309,1.8862670381400004,0.1642,0.1973,90,O,2020yCat.1350....0G,18.582000732421875,18.87299919128418,,,,,,,,,,,,,,,,,,,,,,,,,,0.5239,2.235,-10.585,*,COSMOS,True
2MASS J10025238+0250419,150.7182549954655,2.8449848857008,0.4058,0.3167,90,O,2018yCat.1345....0G,18.632999420166016,19.731000900268555,,,,,,,,,,,,,,,,,,,,,,,,,,0.9688,-3.587,-13.459,*,COSMOS,True
COSMOS 1944821,150.37508966916,2.3622923113199996,0.3671,0.4635,90,O,2020yCat.1350....0G,19.97100067138672,20.690000534057617,,19.1200008392334,,,,,,,,,,,,,,,,,,,,,,,,,-7.153,-7.883,*,COSMOS,True
2MASS J09595809+0239270,149.99206001437,2.65751960972,0.1574,0.1825,90,O,2020yCat.1350....0G,18.742000579833984,19.79199981689453,,,,,,,,,,,,,,,,,,,,,,,,,,1.0748,-3.149,-13.98,*,COSMOS,True
2MASS J09581929+0237139,149.58043511034,2.6205139384,0.2804,0.4626,90,O,2020yCat.1350....0G,19.84000015258789,20.902999877929688,,,,,,,,,,,,,,,,,,,,,,,,,,2.2225,-26.281,-5.874,*,COSMOS,True
COSMOS 3208465,149.46453198516,2.80190362725,0.2907,0.4194,90,O,2020yCat.1350....0G,19.43899917602539,20.58300018310547,,,,,,,,,,,,,,,,,,,,,,,,,,2.3931,-2.398,-12.353,*,COSMOS,True
2MASS J09583056+0147456,149.62738238538,1.79609078929,0.2888,0.2971,90,O,2020yCat.1350....0G,19.625,20.57699966430664,,,,,,,,,,,,,,,,,,,,,,,,,,0.8902,5.257,-12.455,*,COSMOS,True
2MASS J10030931+0132249,150.78876932702,1.5403395499800001,0.1897,0.205,90,O,2020yCat.1350....0G,19.30699920654297,20.125,,,,,,,,,,,,,,,,,,,,,,,,,,1.1258,-8.119,-8.66,*,COSMOS,True
